gene,median_log2fc,combined_p,evidence_score,gene_name,gene_type,ad_evidence_level,human_ad_evidence,mechanistic_evidence,synaptic_evidence,tau_evidence,amyloid_evidence,neuroinflammation_evidence,pmid,literature_note
ADAMTS2,0.8656690105555511,0.0088987778603084,0.7213908421296259,ADAM metallopeptidase with thrombospondin type 1 motif 2,protein-coding,strong,yes,limited,limited,yes,limited,limited,41059714;35557837;39606402,ADAMTS2 is strongly and reproducibly upregulated in human AD brain datasets and has been associated with cognitive decline and neuropathologic severity.
DUSP6,-0.8585677226327464,6.847381093492322e-09,0.7154731021939552,dual specificity phosphatase 6,protein-coding,strong,yes,yes,limited,unclear,yes,unclear,37662269;39006222,DUSP6 is a hub in a VGF-related late-onset AD network; DUSP6 overexpression reduced amyloid burden and improved memory in 5xFAD mice.
ABCC12,-0.823728592211697,2.6357246739019636e-05,0.6864404935097475,ATP binding cassette subfamily C member 12,protein-coding,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,Targeted review did not identify strong direct Alzheimer-specific evidence; retain as an exploratory candidate rather than calling it novel.
CPM,0.707883304559652,0.0008664108142573,0.5899027537997099,carboxypeptidase M,protein-coding,limited,yes,unclear,unclear,unclear,unclear,limited,15722950,"CPM appeared among altered transcripts in an older human AD lymphocyte expression study, but direct brain or mechanistic evidence remains limited."
BDNF,-0.7005871131380594,0.003674649622338,0.5838225942817161,brain derived neurotrophic factor,protein-coding,strong,yes,yes,yes,yes,yes,limited,9387865;26819457;27701410,"BDNF is reduced in Alzheimer brain; higher cortical BDNF expression is associated with slower cognitive decline, and experimental work supports neuroprotective effects."
CEND1,-0.6685435145607768,0.0040994876782954,0.5571195954673139,cell cycle exit and neuronal differentiation 1,protein-coding,strong,yes,yes,yes,yes,yes,limited,35732922;39562718,"CEND1 deficiency causes mitochondrial dysfunction and cognitive impairment in AD models; overexpression rescues deficits, and circulating CEND1 has also been associated with future AD risk."
SERPINA5,0.6606237518961269,0.0003055855104729,0.5505197932467724,serpin family A member 5,protein-coding,strong,yes,yes,limited,yes,limited,limited,33875655;37327267,SERPINA5 expression is associated with selective hippocampal vulnerability in AD and colocalizes with tau pathology; a rare coding variant did not explain clinicopathologic differences.
BEX5,-0.6477491768298465,0.0003685511290932,0.5397909806915386,brain expressed X-linked 5,protein-coding,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,Direct Alzheimer-specific evidence remains unclear from the targeted literature review.
ZNF652,0.6383090923877681,0.0075436531645047,0.5319242436564734,zinc finger protein 652,protein-coding,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,Direct Alzheimer-specific evidence remains unclear from the targeted literature review.
KRT5,-0.6346358720489372,0.0002351765399151,0.5288632267074477,keratin 5,protein-coding,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,Direct Alzheimer-specific evidence remains unclear; retain as exploratory.
PRKX,0.6052423695383164,0.0001338531053882,0.5043686412819304,protein kinase cAMP-dependent X-linked catalytic subunit,protein-coding,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,Targeted literature review did not identify convincing direct Alzheimer-specific evidence.
COL12A1,-0.5667024366252562,0.0019925816404517,0.4722520305210468,collagen type XII alpha 1 chain,protein-coding,unclear,limited,unclear,unclear,unclear,unclear,unclear,,"Some genetic databases link COL12A1 loci to AD, but direct transcriptomic or mechanistic evidence is not yet strong enough here for a higher evidence label."
FIBP,-0.5646696147735728,0.0002835146792549,0.4705580123113106,FGF1 intracellular binding protein,protein-coding,strong,yes,limited,limited,yes,yes,yes,41866337,"Decreased FIBP expression is associated with AD, amyloidopathy and tauopathy in human brain cohorts, with replication across ROSMAP and MSBB regions; newer immune-cell analyses also link FIBP expression to AD risk."
PHF19,0.5515909931789547,0.0019455346129604,0.4596591609824622,PHD finger protein 19,protein-coding,limited,limited,yes,limited,unclear,yes,limited,41825614,"PHF19-PRC2 signaling was implicated in pericyte injury, blood-brain barrier dysfunction and behavioral deficits in Aβ-treated cells and APP/PS1 mice."
EFR3B,-0.5346195308146546,0.0013378166173018,0.4455162756788788,EFR3 homolog B,protein-coding,unclear,unclear,unclear,limited,unclear,unclear,unclear,,Direct Alzheimer-specific evidence remains unclear from targeted review.
PDE10A,-0.5308423941319349,0.0003127953367866,0.4423686617766124,phosphodiesterase 10A,protein-coding,moderate,limited,yes,yes,yes,yes,yes,41146234,"PDE10A inhibition improves CREB signaling and neuronal resilience in AD models, reducing amyloid-beta, phosphorylated tau and neuroinflammation while improving synaptic and cognitive phenotypes."
P2RX7,0.528166356429534,0.0005700825823161,0.440138630357945,purinergic receptor P2X 7,protein-coding,moderate,yes,yes,limited,unclear,limited,yes,40987420,P2RX7 regulates human microglia-like cell function and has been linked to inflammatory pathways associated with Alzheimer disease traits.
NCALD,-0.8629155644634805,0.0029836154593187,0.4314577822317402,neurocalcin delta,protein-coding,moderate,yes,limited,limited,unclear,unclear,unclear,37349795,NCALD showed genome-wide significant pleiotropic association with longitudinal language and memory phenotypes relevant to AD and related dementias.
GFAP,0.8470036751661176,0.0024507363054068,0.4235018375830588,glial fibrillary acidic protein,protein-coding,,,,,,,,,
SLC38A2,0.5004470268434797,0.0005295908253427,0.4170391890362331,solute carrier family 38 member 2,protein-coding,,,,,,,,,
ZDHHC23,-0.8246868219390371,0.0091826008610947,0.4123434109695185,zDHHC palmitoyltransferase 23,protein-coding,,,,,,,,,
GAD1,-0.8220035477581007,0.0059085408347599,0.4110017738790503,glutamate decarboxylase 1,protein-coding,,,,,,,,,
TSPAN7,-0.7992562184751808,0.0074980355678867,0.3996281092375904,tetraspanin 7,protein-coding,,,,,,,,,
HTR3B,-0.7619581230560679,0.0060232060963247,0.3809790615280339,5-hydroxytryptamine receptor 3B,protein-coding,,,,,,,,,
CSF1,0.7460248745297351,0.0033970653980611,0.3730124372648675,colony stimulating factor 1,protein-coding,,,,,,,,,
UHRF1,0.7388361900380738,0.0091661838123437,0.3694180950190369,ubiquitin like with PHD and ring finger domains 1,protein-coding,,,,,,,,,
DIRAS1,-0.7235824188486291,0.0052414598364815,0.3617912094243145,DIRAS family GTPase 1,protein-coding,,,,,,,,,
ARL4D,-0.7207203016373466,0.0001413680281844,0.3603601508186733,ARF like GTPase 4D,protein-coding,,,,,,,,,
IKZF2,0.6465830486587203,0.003484748633878,0.3232915243293601,IKAROS family zinc finger 2,protein-coding,,,,,,,,,
OGDHL,-0.6352570067093737,0.0070655253462277,0.3176285033546868,oxoglutarate dehydrogenase L,protein-coding,,,,,,,,,
ITGB8,0.6352392706299028,0.0037260550504898,0.3176196353149514,integrin subunit beta 8,protein-coding,,,,,,,,,
PTGS2,-0.6223322469133659,0.0062231209592895,0.3111661234566829,prostaglandin-endoperoxide synthase 2,protein-coding,,,,,,,,,
HVCN1,0.6156990137240745,0.0091593413781506,0.3078495068620372,hydrogen voltage gated channel 1,protein-coding,,,,,,,,,
ADAM11,-0.6108478658300376,0.0023829143536041,0.3054239329150188,ADAM metallopeptidase domain 11,protein-coding,,,,,,,,,
IRAK2,0.6027595137634973,0.0070721339459424,0.3013797568817487,interleukin 1 receptor associated kinase 2,protein-coding,,,,,,,,,
GRM8,-0.5946878372010507,0.0041610152621408,0.2973439186005253,glutamate metabotropic receptor 8,protein-coding,,,,,,,,,
SHD,-0.5890737199722499,0.0017536129521315,0.2945368599861249,Src homology 2 domain containing transforming protein D,protein-coding,,,,,,,,,
ACSL6,-0.5839895152948502,0.0007458299482065,0.2919947576474251,acyl-CoA synthetase long chain family member 6,protein-coding,,,,,,,,,
SNORA77,0.5813066196769257,0.0077744889276409,0.2906533098384628,"small nucleolar RNA, H/ACA box 77",snoRNA,,,,,,,,,
FBXW7,-0.5588569709771969,0.0067455224999539,0.2794284854885984,F-box and WD repeat domain containing 7,protein-coding,,,,,,,,,
JUP,0.548871158509213,0.0025824883973548,0.2744355792546065,junction plakoglobin,protein-coding,,,,,,,,,
RFTN2,0.5427608855567154,0.0085455034509999,0.2713804427783577,raftlin family member 2,protein-coding,,,,,,,,,
PTPN5,-0.5358324384316981,0.0054130173821505,0.267916219215849,protein tyrosine phosphatase non-receptor type 5,protein-coding,,,,,,,,,
GLTP,0.5311330551950686,0.0072279947788541,0.2655665275975343,glycolipid transfer protein,protein-coding,,,,,,,,,
GRIA3,-0.5310144041978022,0.0040302495144561,0.2655072020989011,glutamate ionotropic receptor AMPA type subunit 3,protein-coding,,,,,,,,,
ABCD4,0.5299572284589207,0.005753245639479,0.2649786142294603,ATP binding cassette subfamily D member 4,protein-coding,,,,,,,,,
YWHAG,-0.5264359893082284,0.0057262155265269,0.2632179946541142,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma,protein-coding,,,,,,,,,
CA2,0.5230870111641419,0.0091103708175644,0.2615435055820709,carbonic anhydrase 2,protein-coding,,,,,,,,,
E2F3,-0.5228735243096998,6.448537184651977e-05,0.2614367621548499,E2F transcription factor 3,protein-coding,,,,,,,,,
RFFL,0.5172226310226424,0.0077011942270294,0.2586113155113212,ring finger and FYVE like domain containing E3 ubiquitin protein ligase,protein-coding,,,,,,,,,
DPP6,-0.5130071940484413,0.0089005158901476,0.2565035970242206,dipeptidyl peptidase like 6,protein-coding,,,,,,,,,
ADRA1B,-0.5084535650347393,0.0046162758357438,0.2542267825173696,adrenoceptor alpha 1B,protein-coding,,,,,,,,,
RTKN2,-0.5063942728010546,0.0092848893464303,0.2531971364005273,rhotekin 2,protein-coding,,,,,,,,,
HES4,-0.5033214173394533,0.0016274327627552,0.2516607086697267,hes family bHLH transcription factor 4,protein-coding,,,,,,,,,
PREP,-0.5007703483369292,0.0006856007427762,0.2503851741684646,prolyl endopeptidase,protein-coding,,,,,,,,,
